Item Description,GTIN,Pack Type,Price,UOM,Category
PLATE PLAS CLR 9 RGD CLSWR,00734730033907,180/1EA,$110.36,CS,PLATES
PLATE PLAS CLR MOZAIK,00039982024964,"144/6""",$39.25,CS,CATER PLASTIC
PLATE PLAS IMPACT BLK 9IN,00024502109436,4/100CT,$76.82,CS,PLATES
PLATE ROUND 1 CMPNT FIBER 6,10037700682066,1/1000CT,$74.03,CS,PLATE
PLATE ROUND 1 CMPNT FIBER 9,10037700682097,1/500 CT,$85.97,CS,PLATE
POPCORN  BAG YELLOW,521216,,$17.37,cs,
Popcorn Bag - Blue,521216,1/250,$87.00,CS,
Popcorn Bag - Red,521216,1/250,$88.61/$0.35,CS/ea,
Popcorn Bags 1 oz,521290,1000/40\25/1,$22.59/$0.02,Case/Each,
Popcorn Orville Redenbacher,00072274150170,1/35 lb,$25.86,CS,PAPER
Ppocorn Boxes,921217,500/10\50,$138.13/$0.28,Case/Each,
SKEWER BAMBOO 6 IN,10738101140147,10/1000CT,$67.51/$6.75,CS/EA,SKEWERS  BAMBOO
SKEWER BAMBOO 8 IN,10738101140130,10/1000CT,$79.43/$7.94,CS/EA,SKEWERS  BAMBOO
SLEEVE FOR CUP HOT PCF RSK-20,50794297970126,1/1200CT,$70.90,CS,JACKET/WRAP/SLV
SLEEVE PAPER WPS 12/16/20 OZ,00816326010698,1/1380CT,$100.85,CS,JACKET/WRAP/SLV
Softener Lndry April FrshUltra,00037000209300,6/19 oz,$20.80/$3.47,CS/BX,Non-Foods
SPOON PLAS COMPST PLANTW MED6,00644632901825,1/1000CT,$77.67,CS,MISC.
SPOON PLAS PP HVY BLK FULL LEN,00024502312959,1/1000CT,$24.50,CS,SPOON POLYPROP
SPOON PLAS PP TEA HW WRP RFLL,10078731966510,24/40 CT,$42.34,CS,SPOON POLYPROP
SPOON PLAS PS REFILL BLK SRS T,10078731974096,24/40 CT,$45.75,CS,SPOON STYRENE
SPOON PLAS SOUP PP REFILL BLK,10078731974140,24/40 CT,$38.05,CS,SPOON SOUP POLY
SPOON PLAS SOUP PS REFILL BLK,10078731974102,24/40 CT,$45.75,CS,SPOON SOUP STYR
SPOON PLAS WHT MED WT WRPD,00041165035582,1000/CT,$27.95,CS,WRAPPED
SPOON PLASTIC SERVING BLK 10IN,00889356100103,1/72PC,$22.78,CS,SPOON STYRENE
SPOON SOUP COMPOST PLNTWRE 6,00644632903188,1/1000CT,$65.53,CS,MISC.
SPOON SOUP PLAS HVY BLK FULL,00024502341027,1/1000CT,$24.56,CS,SPOON SOUP POLY
STIRRER COFFEE WOOD 7.5IN,10738101140031,1/1000CT,$9.44,EA,STIRRERS
STIRRER PLAS STRAW BLK 5.25,00734730230863,8/1000CT,$19.96,CS,STIRRER-SOLID
STRAW AGAVE BASED WRAPD 8INCH,10889356125035,4/500CT,$48.51,CS,WRAPPED
STRAW PLAS TRANS JMB WRPD 7.75,00734730271927,24/500CT,$64.90,CS,PLASTIC WRPD
STRAW PLAS WRPD FLEX WHT 7.625,00734730271880,24/400CT,$65.11,CS,FLEX  PLASTIC
STRAW PLAS WRPD GNT RED 10.25,10024502103240,6/300CT,$21.13,CS,PLASTIC WRPD
STRAW WRPD PLA CLR CMPST 9.5,00644632901559,16/300CT,$169.87,CS,PLASTIC WRPD
sys cls stirrer plas straw blk,521207,,$20.12/$2.51,case/ea,
Taco Beef Mini,20027086078826,120/.7 oz,$26.47,CS,PAPER
"TEA DISPENSER LINER, 150/3 GAL",893713001149,1/150 CT,$244.08,CS,ACCESSORIES
TISSUE TOILET 2PL WH WRP ENVSN,10073310198801,80/550 CT,$59.62,CS,STANDARD ROLL
TISSUE TOILET 2PLY CORELESS,10073310193752,36/1000CT,$63.01,CS,CORELESS
TISSUE TOILET 4X3.75 2PL WH WR,10073286620085,96/500CT,$56.52,CS,STANDARD ROLL
TISSUE TOILET CORELESS 2PLY WH,10073310193783,18/1500CT,$47.74,CS,CORELESS
TISSUE TOILET JMBO 2PLY WHT,10073286618730,12/1000FT,$46.59,CS,JUMBO ROLL
TONG PLAS 9 BLK SNAP N SERVE,10734730615100,1/36 CT,$42.71,CS,TONGS POLYPROP
TOOTHPICK WOOD MINT CELLO WRP,10738101140178,1/1000CT,$2.72,EA,TOOTHPICK WRPD
TOOTHPICK WOOD RND UNWRPD,10738101140192,12/1000CT,$20.76,CS,TOOTHPICK UNWRP
TOWEL MULTIFOLD NAT 9.5X9.125,10073286616927,16/250 CT,$24.89,CS,MULTIFOLD
TOWEL MULTIFOLD WHT 9.125X9.5,10073286616880,16/250CT,$28.92,CS,MULTIFOLD
TOWEL PAPER CENTERPULL BLCHD,10073310281244,6/320 CT,$49.39,CS,ROL TOWEL OTHER
TOWEL ROLL ENMOTION LRG 4AUTO,10073310894604,6/800FT,$69.15,CS,HARDWOUND ROLL
TOWEL ROLL KTCHEN 9X11 WH JMBO,10073286617733,12/210SHT,$29.80,CS,KITCHEN ROLL
TOWEL ROLL KTCHN 9X11,10073286617726,30/84 CT,$31.74,CS,KITCHEN ROLL
TRAY DISPOS ALL IN ONE TACO,00039982044436,1/300 CT,$116.25,CS,MISC.
TRAY FOOD PAPR NAT 8 OZ,10072181006956,1/1000CT,$35.07,CS,FOOD PAPER
TRAY FOOD PLAIN 1LB KRAFT,50794297966242,1/1000CT,$32.79,CS,MISC.
