Item Description,GTIN,Pack Type,Price,UOM,Category
Coffee Espresso Style KCup,10074471289964,4/24 ct,$66.80,CS,Single Cup (ex:Kcup)
COFFEE FLTR PK CLS ROAST,00025500101163,160/1.4OZ,$248.43,CS,REGULAR
COFFEE FLVR REG FLTR,00025500061153,160/1.05OZ,$187.13,CS,REGULAR
Coffee Frapp Mocha Gls,10012000004527,12/13.7oz,$39.54,CS,Bottled Drinks
Coffee Frapp Vanilla Gls,10012000101141,6/4/9.5 oz,$59.24/$9.87,CS/BX,Bottled Drinks
Coffee French Roast KCup,10785357024059,4/22 ct,$72.39/$18.10,CS/BX,Single Cup (ex:Kcup)
Coffee French Vanilla KCup,10881334012689,4/22 ct,$72.39/$18.10,CS/BX,Single Cup (ex:Kcup)
COFFEE FRZDRY ALEGRIA DELICATE,00028000717162,4/250 GM,$87.64,CS,REGULAR
COFFEE FRZDRY SMOOTH,00028000116941,3/400 GM,$95.77,CS,REGULAR
Coffee FTO Sumatran Res K cup,10099555040606,4/24 ct,$66.80,CS,Single Cup (ex:Kcup)
COFFEE GRND BKFST KCUP BLEND,10099555065203,4/24 CT,$71.57,CS,SINGLE/KCUP
COFFEE GRND DECAF CLASSIC,10025500062157,92/.9 OZ,$94.55,CS,DECAF
COFFEE GRND DECAF PKS PLACE US,40762111936545,32/5 OZ,$153.55,CS,GOURMET
COFFEE GRND DECAF PKS PLACE US,40762111936576,28/9 OZ,$241.84,CS,GOURMET
COFFEE GRND KCUP COLMBN SELCT,10099555060031,4/24 CT,$71.57,CS,SINGLE/KCUP
COFFEE GRND KCUP DARK MAGIC,10099555040613,4/24 CT,$71.57,CS,GOURMET
COFFEE GRND PIKES PLACE US,40762111861083,28/9 OZ,$241.84,CS,REGULAR
COFFEE GRND PIKES PLACE US,40762111861113,32/5 OZ,$153.55,CS,REGULAR
COFFEE GRND REG SATELLITE,10025500061068,50/2.7 OZ,$131.50,CS,REGULAR
COFFEE GRND REG URN,10025500061020,30/5.4 OZ,$157.30,CS,REGULAR
COFFEE GRND VERONA REG US,40762111601719,28/9 OZ,$241.84,CS,REGULAR
COFFEE GRND VERONA REG US,40762111601528,32/5 OZ,$153.55,CS,REGULAR
COFFEE GROUND CLS RST URN,10025500101207,30/9 OZ,$260.47,CS,REGULAR
Coffee Hazlnut Crm OvrIce KCup,10611247390297,4/24 ct,$60.73/$15.18,CS/BX,Single Cup (ex:Kcup)
Coffee Holiday Blend K cup,10099555062042,4/24 ct,$66.80/$16.70,CS/BX,Single Cup (ex:Kcup)
Coffee House Blend KCup,10785357024103,4/22,$72.39/$18.10,CS/BX,Single Cup (ex:Kcup)
Coffee House Blnd WB,10785357000527,20/1 lb,$278.00/$13.90,CS/BX,Vend Reg Whole Bn
Coffee Iced Caramel Can,20036632075004,12/15 oz,$31.82,CS,Bottled Drinks
Coffee Iced French Vanilla,00049000072396,12/13.7 oz,$34.62,CS,Non-Carbonatd Bottle
Coffee Iced Reese s Peanut,20036632079798,12/15 oz,$31.82,CS,Canned Drinks
Coffee Iced Vanilla,20036632078234,12/15 oz,$31.82,CS,Bottled Drinks
Coffee Island Coconut K cup,10099555067207,4/24 ct,$54.98,CS,Single Cup (ex:Kcup)
Coffee Italian Roast K cup,10681427002883,4/24 ct,$68.72,CS,Single Cup (ex:Kcup)
Coffee KCup Colombian Peak,10011141106329,4/24 ct,$60.69,CS,Single Cup (ex:Kcup)
Coffee Krispy Kreme Classic KC,10099555061106,4/24 ct,,CS/BX,Single Cup (ex:Kcup)
Coffee Latte Vanilla One Step,10611247381776,4/20 ct,$66.70/$16.68,CS/BX,Single Cup (ex:Kcup)
Coffee Mahogany K cup,10611247376734,4/24 ct,$68.72,CS,Single Cup (ex:Kcup)
Coffee Major Dickason KCup,10785357024035,4/22 ct,$72.39/$18.10,CS/BX,Single Cup (ex:Kcup)
Coffee Major Dickason WB,10785357000039,20/1 lb,$256.50/$12.83,CS/BX,Vend Reg Whole Bn
Coffee Mex Mocha Dbl Shot,20012000028452,12/15 oz,$28.99,CS,Bottled Drinks
Coffee Midnight Drk Rst Kcup,10881334012795,4/22 ct,$72.39/$18.10,CS/BX,Single Cup (ex:Kcup)
Coffee Midnight Kcup,10611247403164,4/22/.35 oz,$72.39,CS,Single Cup (ex:Kcup)
Coffee Mocha Draft Latte Brew,00604913005000,12/11 oz,$28.05,CS,Aseptic Drinks
Coffee Original Blend Kcup,10611247403157,4/22/.42 oz,$68.39,CS,Single Cup (ex:Kcup)
Coffee Our Blnd K cup,10099555065708,4/24 ct,$66.80,CS,Single Cup (ex:Kcup)
Coffee Peppermint Bark K cup,10611247374280,4/24 ct,$66.80/$16.70,CS/BX,Single Cup (ex:Kcup)
Coffee Pike Place Rst Decaf WB,40762111517553,6/1 lb,$102.21,CS,Decaf Coffee
