Item Description,GTIN,Pack Type,Price,UOM,Category
DOUGH PIZZA SHEETED 7IN,00049800163874,96/5.5 OZ,$63.08,CS,RAW CRUST FRMD
DOUGH PIZZA SHTD 16IN PRF &BK,00049800350861,20/26 OZ,$57.65,CS,RAW CRUST FRMD
DOUGH PIZZA WHL GRN 16 SHEET,00049800170155,20/21.5OZ,$64.01,CS,DOUGH BALLS
DOUGH ROLL CINN FZ TO OVN,10094562053571,200/1.5 OZ,$59.30,CS,RAW DOUGH
DOUGH ROLL CINNAMON CN LBL,00049800082212,120/2.5 OZ,$38.79,CS,RAW DOUGH
DOUGH ROLL CINNAMON LOG GOURM,00049800123007,9/3 LB,$72.37,CS,RAW DOUGH
DOUGH ROLL CINNAMON WHL GRAIN,10094562111110,100/2. 7OZ,$45.45,CS,RAW DOUGH
DOUGH ROLL DINNER WHL GRAIN,00049800109889,288/1.25OZ,$46.91,CS,PRE-PROOFD&RAW
DOUGH ROLL DINNER YEASTY SWEET,00049800291041,240/1.5 OZ,$46.12,CS,PRE-PROOFD&RAW
DOUGH ROLL HOMESTYLE,00049800114395,240/1.5 OZ,$44.54,CS,RAW DOUGH
DOUGH ROLL HOMESTYLE,00049800086005,288/1 OZ,$39.85,CS,RAW DOUGH
DOUGH ROLL SUB WHEAT,00049800088030,60/6 OZ,$49.61,CS,RAW DOUGH
DOUGH ROLL SUB WHITE,00049800181489,60/7.5 OZ,$50.67,CS,RAW DOUGH
DOUGH ROLL VIENNA,00049800032361,180/1.5 OZ,$38.52,CS,RAW DOUGH
DOUGH SCONE APPLE CINNMON FTO,10094562081482,96/3.75OZ,$90.81,CS,DOUGH
DOUGH SCONE BLUBRY FTO3.75OZ,10094562081505,96/3.75OZ,$90.81,CS,DOUGH
DOUGH SCONE RSBRY WHTCHOC FTO,10094562081512,96/3.75OZ,$90.81,CS,DOUGH
DOUGH SCONE VARIETY PACK FTO,10094562081352,96/3.75OZ,$98.54,CS,DOUGH
