Item Description,GTIN,Pack Type,Price,UOM,Category
Smoothie Strawberry Banana,00813993004074,12/9 oz,$29.84,CS,Miscellaneous
Sorbet Bar Strawberry,00047677482548,12/2.6 oz,$10.97,CS,Ice Cream Products
SPANAKOPITA K730,00745378730004,200 / 0.7 OZ,$165.55,CS,BAKERY
SPINACH CHOPPED BAG,10734730450282,12/3LB,$67.77,CS,PACKAGES
SPINACH CHOPPED IQF,10074865280454,12/2LB,$46.58,CS,PACKAGES
Strawberry Lemonade Frozen Cup,10025000066013,12/12 oz,$24.77,CS,Miscellaneous
STRAWBERRY SLICED IQF CHEF RC,10071202179303,2/5 LB,$34.20,CS,IQF
STRAWBERRY WHL IQF,10071202177118,2/5LB,$29.41,CS,IQF
VEGETABLE BLEND CALIF GR A,10074865018002,12/2LB,$34.30,CS,PACKAGES
VEGETABLE BLEND CAPRI GR A,00074865659925,1/30 LB,$51.15,CS,BULK
VEGETABLE BLEND FAJITA PPR&ON,10071179677796,6/2.5 LB,$39.25,CS,PACKAGES
VEGETABLE CORN AND PEPPERS BLN,10071179790662,6/2.5LB,$37.54,CS,MISC.
VEGETABLE MIX 5-WAY,00074865628099,1/30 LB,$51.25,CS,5-WAY
