Item Description,GTIN,Pack Type,Price,UOM,Category
TURKEY DICED WHITE IQF 3/8,90022655829211,2/5 LB,$33.53,CS,FRTHR PRCSD PKR
TURKEY DRUMSTICK SMO 22/29 OZ,00070773211866,1/35 LB,$5.29,CS,MISC.
TURKEY GROUND 93/7,90022655700183,2/10 LB,$60.31,CS,GRND TRKY SYS
TURKEY SAUSAGE LINK RAW,90022655916959,160/1 OZ,$39.95,CS,COOKED P/D NP
TURKEY SAUSAGE PTY RAW,90022655928990,128/1.5 OZ,$47.26,CS,COOKED P/D NP
TURKEY TOM GR A WHL 16-20,90889356035545,2/16-20#,$1.75,CS,RAW WHOLE BODY
TURKEY WHL HEN  GR A 10-16,10074865514559,4/10-16#,$1.75,CS,RAW WHOLE BODY
VEGETARIAN PATTY  GARDN BURGER,10028989977127,48/3.5OZ,$74.76,CS,PLANTBASED BEEF
VEGETARIAN PTY BRKFST SAUSAGE,00028989971524,112/1.34OZ,$62.89,CS,PLANTBASED PORK
Vienna Sausage,10054100925029,48/4.6 oz,$54.01,CS,Meat Snacks
