Item Description,UOM,Seq,Pack Type,Price,Last Inventory Qty,Inv Count,Total Price
HAM SLICED SMK H\W .5OZ FRESH,CS,114,6/2 LB,$64.71,5.00 CS,5.00 CS,$323.55
HAM SLICED SMK H\W .5OZ FRESH,EA,114,6/2 LB,$10.79,0.00 EA,0.00 EA,$0.00
PORK BBQ SMKD PULLED PREMIUM,CS,115,2/5 LB,$67.94,1.00 CS,2.00 CS,$135.88
PORK BBQ SMKD PULLED PREMIUM,EA,115,2/5 LB,$33.97,0.00 EA,0.00 EA,$0.00
PORK LOIN BONELESS CTR CUT,CS,116,2/10 LB,$2.63,72.56 CS,39.15 CS,$102.96
SHRIMP WHT RAW 16-20CT,CS,117,5/2 LB,$82.54,36.00 CS,24.50 CS,"$2,022.23"
SHRIMP WHT RAW 16-20CT,EA,117,5/2 LB,$16.51,0.00 EA,0.00 EA,$0.00
SPINACH CHOPPED IQF,CS,118,12/2LB,$46.58,4.00 CS,2.00 CS,$93.16
SPINACH CHOPPED IQF,EA,118,12/2LB,$3.88,0.00 EA,0.00 EA,$0.00
STEAK BEEF PHILLY,CS,119,1/60 PC,$109.27,3.00 CS,0.00 CS,$0.00
STEAK BEEF PHILLY,EA,119,1/60 PC,$109.30,0.00 EA,0.00 EA,$0.00
BEEF SKIRT INSIDE FAJ MARN,CS,120,4/5#AVG,$9.90,60.00 CS,50.00 CS,$495.00
BEEF FOR STEW 135A 3/4 - 1 1/2,CS,121,2/5 LB,$77.63,4.00 CS,7.00 CS,$543.41
BEEF FOR STEW 135A 3/4 - 1 1/2,EA,121,2/5 LB,$38.82,0.00 EA,0.00 EA,$0.00
CHICKEN DICED 1/2IN FC DRK/WHT,CS,122,2/5 LB,$47.26,2.00 CS,1.00 CS,$47.26
CHICKEN DICED 1/2IN FC DRK/WHT,EA,122,2/5 LB,$23.63,0.00 EA,0.00 EA,$0.00
CHICKEN DICED 1/2IN FC WHT,CS,123,2/5 LB,$50.52,4.00 CS,0.00 CS,$0.00
CHICKEN DICED 1/2IN FC WHT,EA,123,2/5 LB,$25.26,0.00 EA,0.00 EA,$0.00
DOUGH COOKIE CARAMEL CRUN,CS,124,84/3OZ,$98.14,8.00 CS,5.00 CS,$490.70
DOUGH COOKIE CARAMEL CRUN,EA,124,84/3OZ,$1.17,0.00 EA,0.00 EA,$0.00
DOUGH COOKIE OTML RSN XXL GRMT,CS,125,60/5 OZ,$73.16,0.00 CS,0.00 CS,$0.00
DOUGH COOKIE OTML RSN XXL GRMT,EA,125,60/5 OZ,$1.22,0.00 EA,0.00 EA,$0.00
